
./testsT0/P1/bin/childfaulter,16,1
./testsT0/P1/bin/childtime,6,31
./testsT0/P1/bin/child,4,1
./testsT0/P1/bin/childtime,10,67
./testsT0/P1/bin/child,4,1
./testsT0/P1/bin/childtime,3,22

./testsT0/P1/bin/childfaulter,15,1
./testsT0/P1/bin/childtime,-689,0
./testsT0/P1/bin/child,-689,0
./testsT0/P1/bin/childtime,9,67
./testsT0/P1/bin/child,-694,0
./testsT0/P1/bin/childtime,2,22

./testsT0/P1/bin/childfaulter,918,1
./testsT0/P1/bin/childtime,0,0
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,915,67
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,913,22

./testsT0/P1/bin/childfaulter,0,1
./testsT0/P1/bin/childtime,0,0
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,0,67
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,0,22
./testsT0/P1/bin/childfaulter,0,1
./testsT0/P1/bin/childtime,0,0
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,0,67
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,0,22
./testsT0/P1/bin/childfaulter,0,1
./testsT0/P1/bin/childtime,0,0
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,0,67
./testsT0/P1/bin/child,0,0
./testsT0/P1/bin/childtime,0,22

./testsT0/P1/bin/childfaulter,15,1
./testsT0/P1/bin/childtime,-1712587617,0
./testsT0/P1/bin/child,-1712587617,0
./testsT0/P1/bin/childtime,9,67
./testsT0/P1/bin/child,-1712587622,0
./testsT0/P1/bin/childtime,2,22
